,year,rank,song,artist
3864,1998,66,I'm Afraid Of Americans,David Bowie
3865,1998,67,Santa's A Fat Bitch,Insane Clown Posse
3866,1998,68,Backyard Boogie,Mack 10
3867,1998,69,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase
3868,1998,70,Say You'll Stay,KAI
3869,1998,71,Swing My Way,K.P. & Envyi
3870,1998,72,Last Night's Letter,K-Ci & JoJo
3871,1998,73,Don't Stop The Music,Playa
3872,1998,74,One More Night,Amber
3873,1998,75,Around The World,Daft Punk
3874,1998,76,Something That We Do,Clint Black
3875,1998,77,I Wonder If Heaven Got A Ghetto,2Pac
3876,1998,78,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz
3877,1998,79,"Too Gone, Too Long",En Vogue
3878,1998,80,L-L-Lies,Diana King
3879,1998,81,Mourn You Til I Join You,Naughty By Nature
3880,1998,82,Valentine,Martina McBride With Jim Brickman
3881,1998,83,In Harm's Way,BeBe Winans
3882,1998,84,The Rest Of Mine,Trace Adkins
3883,1998,85,Did I Shave My Legs For This?,Deana Carter
3884,1998,86,"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P"
3885,1998,87,Love Of My Life,Sammy Kershaw
3886,1998,88,Only If...,Enya
3887,1998,89,You Know My Steez,Gang Starr
3888,1998,90,All Of My Days,Changing Faces (Featuring Jay-Z)
3889,1998,91,Ain't That Just The Way,Lutricia McNeal
3890,1998,92,Have A Little Mercy,4.0
3891,1998,93,What If I Said,Anita Cochran (Duet With Steve Wariner)
3892,1998,94,Man Behind The Music,Queen Pen Featuring Teddy Riley
3893,1998,95,I'm So Happy I Can't Stop Crying,Toby Keith With Sting
3894,1998,96,Smack My Bitch Up,The Prodigy
3895,1998,97,Don't Go,Le Click Featuring Kayo
3896,1998,98,Up & Down,Billy Lawrence
3897,1998,99,Doin' Time,Sublime
3898,1998,100,Brian Wilson,Barenaked Ladies
3899,1999,1,I'm Your Angel,R. Kelly & Celine Dion
3900,1999,2,Nobody's Supposed To Be Here,Deborah Cox
3901,1999,3,Lately,Divine
3902,1999,4,...Baby One More Time,Britney Spears
3903,1999,5,Because Of You,98 Degrees
3904,1999,6,From This Moment On,Shania Twain
3905,1999,7,Doo Wop (That Thing),Lauryn Hill
3906,1999,8,Trippin',Total Featuring Missy Elliott
3907,1999,9,Have You Ever?,Brandy
3908,1999,10,Love Like This,Faith Evans
3909,1999,11,Goodbye,Spice Girls
3910,1999,12,Lullaby,Shawn Mullins
3911,1999,13,Save Tonight,Eagle-Eye Cherry
3912,1999,14,This Kiss,Faith Hill
3913,1999,15,Hands,Jewel
3914,1999,16,Slide,Goo Goo Dolls
3915,1999,17,Jumper,Third Eye Blind
3916,1999,18,Love Me,112 Featuring Mase
3917,1999,19,I Don't Want To Miss A Thing,Mark Chesnutt
3918,1999,20,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja
3919,1999,21,Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony
3920,1999,22,Iris,Goo Goo Dolls
3921,1999,23,The First Night,Monica
3922,1999,24,Take Me There,BLACKstreet & Mya Featuring Mase & Blinky Blink
3923,1999,25,Angel,Sarah McLachlan
3924,1999,26,I'll Be,Edwin McCain
3925,1999,27,My Favorite Mistake,Sheryl Crow
3926,1999,28,How Deep Is Your Love,Dru Hill Featuring Redman
3927,1999,29,Miami,Will Smith
3928,1999,30,Pushin' Weight,Ice Cube Featuring Mr. Short Khop
3929,1999,31,These Are The Times,Dru Hill
3930,1999,32,Thank U,Alanis Morissette
3931,1999,33,Touch It,Monifah
3932,1999,34,Inside Out,Eve 6
3933,1999,35,(God Must Have Spent) A Little More Time On You,'N Sync
